Time [s],Event
2,0100640,Wrote 0x01 to 0x50. +ACK
2,0101338,Start
2,0101710,Setup read from 0x50. +ACK
2,0102920,Read 0x00 from 0x50. +ACK
2,0104160,Read 0x00 from 0x50. +No ACK
2,0105428,Stop
2,0106653,Start
2,0107070,Setup write to 0x50. +ACK
2,0107790,Wrote 0x00 to 0x50. +ACK
2,0108513,Wrote 0x00 to 0x50. +ACK
2,0109170,Stop
3,0006948,Start
3,0007365,Setup write to 0x50. +ACK
3,0008085,Wrote 0x00 to 0x50. +ACK
3,0008805,Wrote 0x00 to 0x50. +ACK
3,0009463,Stop
3,0009988,Start
3,0010405,Setup write to 0x50. +ACK
3,0011125,Wrote 0x00 to 0x50. +ACK
3,0011848,Wrote 0x10 to 0x50. +ACK
3,0012505,Stop
3,0023253,Start
3,0023670,Setup write to 0x50. +ACK
3,0024390,Wrote 0x01 to 0x50. +ACK
3,0025410,Wrote 0x02 to 0x50. +ACK
3,0026130,Wrote 0x06 to 0x50. +ACK
3,0026850,Wrote 0x00 to 0x50. +ACK
3,0027508,Stop
3,0048228,Start
3,0048645,Setup write to 0x50. +ACK
3,0049365,Wrote 0x01 to 0x50. +ACK
3,0050063,Start
3,0050435,Setup read from 0x50. +ACK
3,0051155,Read 0x01 from 0x50. +ACK
3,0052395,Read 0x3D from 0x50. +No ACK
3,0053705,Stop
3,0054300,Start
3,0055178,Setup write to 0x50. +ACK
3,0055898,Wrote 0x01 to 0x50. +ACK
3,0056618,Wrote 0x02 to 0x50. +ACK
3,0057338,Wrote 0x0E to 0x50. +ACK
3,0058058,Wrote 0x3D to 0x50. +ACK
3,0058715,Stop
3,0099670,Start
3,0100088,Setup write to 0x50. +ACK
3,0100808,Wrote 0x01 to 0x50. +ACK
3,0101505,Start
3,0101878,Setup read from 0x50. +ACK
3,0102598,Read 0x01 from 0x50. +ACK
3,0103878,Read 0x3D from 0x50. +No ACK
3,0105548,Stop
3,0106123,Start
3,0106540,Setup write to 0x50. +ACK
3,0107260,Wrote 0x01 to 0x50. +ACK
3,0107980,Wrote 0x01 to 0x50. +ACK
3,0108700,Wrote 0x0B to 0x50. +ACK
3,0109358,Stop
3,0150323,Start
3,0150740,Setup write to 0x50. +ACK
3,0151460,Wrote 0x01 to 0x50. +ACK
3,0152158,Start
3,0152530,Setup read from 0x50. +ACK
3,0153250,Read 0x08 from 0x50. +ACK
3,0155030,Read 0x67 from 0x50. +ACK
3,0156313,Read 0x69 from 0x50. +ACK
3,0157593,Read 0x56 from 0x50. +ACK
3,0158873,Read 0x3F from 0x50. +ACK
3,0160153,Read 0xE4 from 0x50. +ACK
3,0161433,Read 0x0D from 0x50. +ACK
3,0162713,Read 0x02 from 0x50. +ACK
3,0163993,Read 0xD0 from 0x50. +No ACK
3,0165660,Stop
3,0287925,Start
3,0288343,Setup write to 0x50. +ACK
3,0289063,Wrote 0x01 to 0x50. +ACK
3,0289785,Wrote 0x02 to 0x50. +ACK
3,0290505,Wrote 0x08 to 0x50. +ACK
3,0291225,Wrote 0x0D to 0x50. +ACK
3,0291883,Stop
3,0322715,Start
3,0323133,Setup write to 0x50. +ACK
3,0323853,Wrote 0x01 to 0x50. +ACK
3,0325010,Start
3,0325383,Setup read from 0x50. +ACK
3,0326103,Read 0x04 from 0x50. +ACK
3,0327423,Read 0x30 from 0x50. +ACK
3,0328703,Read 0x2A from 0x50. +ACK
3,0329983,Read 0xD8 from 0x50. +ACK
3,0331265,Read 0xCB from 0x50. +No ACK
3,0332473,Stop
3,0333318,Start
3,0333735,Setup write to 0x50. +ACK
3,0334455,Wrote 0x01 to 0x50. +ACK
3,0335475,Wrote 0x02 to 0x50. +ACK
3,0336195,Wrote 0x08 to 0x50. +ACK
3,0336915,Wrote 0x05 to 0x50. +ACK
3,0337573,Stop
3,0368405,Start
3,0368823,Setup write to 0x50. +ACK
3,0369543,Wrote 0x01 to 0x50. +ACK
3,0370240,Start
3,0370613,Setup read from 0x50. +ACK
3,0371333,Read 0x04 from 0x50. +ACK
3,0372655,Read 0x19 from 0x50. +ACK
3,0373935,Read 0x00 from 0x50. +ACK
3,0375675,Read 0x00 from 0x50. +ACK
3,0376955,Read 0x00 from 0x50. +No ACK
3,0378163,Stop
3,0378848,Start
3,0379265,Setup write to 0x50. +ACK
3,0379985,Wrote 0x01 to 0x50. +ACK
3,0380705,Wrote 0x02 to 0x50. +ACK
3,0381425,Wrote 0x08 to 0x50. +ACK
3,0382145,Wrote 0x06 to 0x50. +ACK
3,0382805,Stop
3,0413635,Start
3,0414055,Setup write to 0x50. +ACK
3,0415235,Wrote 0x01 to 0x50. +ACK
3,0415933,Start
3,0416305,Setup read from 0x50. +ACK
3,0417025,Read 0x04 from 0x50. +ACK
3,0418345,Read 0x19 from 0x50. +ACK
3,0419625,Read 0x00 from 0x50. +ACK
3,0420905,Read 0x00 from 0x50. +ACK
3,0422185,Read 0x00 from 0x50. +No ACK
3,0423393,Stop
3,0424308,Start
3,0425188,Setup write to 0x50. +ACK
3,0425908,Wrote 0x01 to 0x50. +ACK
3,0426628,Wrote 0x02 to 0x50. +ACK
3,0427348,Wrote 0x08 to 0x50. +ACK
3,0428068,Wrote 0x08 to 0x50. +ACK
3,0428725,Stop
3,0459558,Start
3,0459975,Setup write to 0x50. +ACK
3,0460695,Wrote 0x01 to 0x50. +ACK
3,0461393,Start
3,0461765,Setup read from 0x50. +ACK
3,0462485,Read 0x04 from 0x50. +ACK
3,0463805,Read 0x01 from 0x50. +ACK
3,0465538,Read 0x00 from 0x50. +ACK
3,0466818,Read 0x3C from 0x50. +ACK
3,0468098,Read 0x00 from 0x50. +No ACK
3,0469305,Stop
3,0470010,Start
3,0470428,Setup write to 0x50. +ACK
3,0471148,Wrote 0x01 to 0x50. +ACK
3,0471868,Wrote 0x02 to 0x50. +ACK
3,0472588,Wrote 0x08 to 0x50. +ACK
3,0473308,Wrote 0x09 to 0x50. +ACK
3,0473965,Stop
3,0505268,Start
3,0505685,Setup write to 0x50. +ACK
3,0506408,Wrote 0x01 to 0x50. +ACK
3,0507105,Start
3,0507478,Setup read from 0x50. +ACK
3,0508198,Read 0x04 from 0x50. +ACK
3,0509518,Read 0x01 from 0x50. +ACK
3,0510798,Read 0x00 from 0x50. +ACK
3,0512078,Read 0x3C from 0x50. +ACK
3,0513358,Read 0x00 from 0x50. +No ACK
3,0514565,Stop
3,0515660,Start
3,0516078,Setup write to 0x50. +ACK
3,0516800,Wrote 0x01 to 0x50. +ACK
3,0517520,Wrote 0x02 to 0x50. +ACK
3,0518240,Wrote 0x08 to 0x50. +ACK
3,0518960,Wrote 0x0A to 0x50. +ACK
3,0519618,Stop
3,0550450,Start
3,0550868,Setup write to 0x50. +ACK
3,0551588,Wrote 0x01 to 0x50. +ACK
3,0552285,Start
3,0552658,Setup read from 0x50. +ACK
3,0553378,Read 0x04 from 0x50. +ACK
3,0555148,Read 0x01 from 0x50. +ACK
3,0556428,Read 0x00 from 0x50. +ACK
3,0557710,Read 0x3C from 0x50. +ACK
3,0558990,Read 0x00 from 0x50. +No ACK
3,0560198,Stop
3,0561703,Start
3,0562120,Setup write to 0x50. +ACK
3,0562840,Wrote 0x01 to 0x50. +ACK
3,0563560,Wrote 0x02 to 0x50. +ACK
3,0564280,Wrote 0x08 to 0x50. +ACK
3,0565460,Wrote 0x0B to 0x50. +ACK
3,0566118,Stop
3,0596960,Start
3,0597378,Setup write to 0x50. +ACK
3,0598098,Wrote 0x01 to 0x50. +ACK
3,0598795,Start
3,0599170,Setup read from 0x50. +ACK
3,0599890,Read 0x04 from 0x50. +ACK
3,0601210,Read 0x08 from 0x50. +ACK
3,0602490,Read 0x21 from 0x50. +ACK
3,0603770,Read 0x00 from 0x50. +ACK
3,0605500,Read 0x00 from 0x50. +No ACK
3,0606708,Stop
3,0607413,Start
3,0607830,Setup write to 0x50. +ACK
3,0608550,Wrote 0x01 to 0x50. +ACK
3,0609273,Wrote 0x02 to 0x50. +ACK
3,0609993,Wrote 0x08 to 0x50. +ACK
3,0610713,Wrote 0x0C to 0x50. +ACK
3,0611370,Stop
3,0642203,Start
3,0642620,Setup write to 0x50. +ACK
3,0643340,Wrote 0x01 to 0x50. +ACK
3,0644038,Start
3,0644410,Setup read from 0x50. +ACK
3,0645510,Read 0x04 from 0x50. +ACK
3,0646830,Read 0x08 from 0x50. +ACK
3,0648110,Read 0x21 from 0x50. +ACK
3,0649390,Read 0x00 from 0x50. +ACK
3,0650673,Read 0x00 from 0x50. +No ACK
3,0651880,Stop
3,0652585,Start
3,0653003,Setup write to 0x50. +ACK
3,0653723,Wrote 0x01 to 0x50. +ACK
3,0654443,Wrote 0x02 to 0x50. +ACK
3,0655543,Wrote 0x08 to 0x50. +ACK
3,0656263,Wrote 0x0F to 0x50. +ACK
3,0656920,Stop
3,0687753,Start
3,0688170,Setup write to 0x50. +ACK
3,0688890,Wrote 0x01 to 0x50. +ACK
3,0689588,Start
3,0689960,Setup read from 0x50. +ACK
3,0690680,Read 0x04 from 0x50. +ACK
3,0692003,Read 0x08 from 0x50. +ACK
3,0693283,Read 0x21 from 0x50. +ACK
3,0694563,Read 0xE0 from 0x50. +ACK
3,0695963,Read 0xDE from 0x50. +No ACK
3,0697170,Stop
3,0698565,Start
3,0698983,Setup write to 0x50. +ACK
3,0699703,Wrote 0x00 to 0x50. +ACK
3,0700423,Wrote 0x00 to 0x50. +ACK
3,0701080,Stop
3,2933478,Start
3,2933895,Setup write to 0x50. +ACK
3,2934615,Wrote 0x00 to 0x50. +ACK
3,2935798,Wrote 0x00 to 0x50. +ACK
3,2936455,Stop
3,2936980,Start
3,2937398,Setup write to 0x50. +ACK
3,2938118,Wrote 0x00 to 0x50. +ACK
3,2938838,Wrote 0x10 to 0x50. +ACK
3,2939495,Stop
3,2950253,Start
3,2950670,Setup write to 0x50. +ACK
3,2951390,Wrote 0x01 to 0x50. +ACK
3,2952110,Wrote 0x02 to 0x50. +ACK
3,2952830,Wrote 0x06 to 0x50. +ACK
3,2953550,Wrote 0x00 to 0x50. +ACK
3,2954208,Stop
3,2974918,Start
3,2975795,Setup write to 0x50. +ACK
3,2976515,Wrote 0x01 to 0x50. +ACK
3,2977213,Start
3,2977588,Setup read from 0x50. +ACK
3,2978308,Read 0x01 from 0x50. +ACK
3,2979548,Read 0x03 from 0x50. +No ACK
3,2980855,Stop
3,2981450,Start
3,2981868,Setup write to 0x50. +ACK
3,2982588,Wrote 0x01 to 0x50. +ACK
3,2983308,Wrote 0x02 to 0x50. +ACK
3,2984028,Wrote 0x0E to 0x50. +ACK
3,2984748,Wrote 0x03 to 0x50. +ACK
3,2985865,Stop
3,3027480,Start
3,3027898,Setup write to 0x50. +ACK
3,3028620,Wrote 0x01 to 0x50. +ACK
3,3029318,Start
3,3029690,Setup read from 0x50. +ACK
3,3030410,Read 0x01 from 0x50. +ACK
3,3031690,Read 0x03 from 0x50. +No ACK
3,3032898,Stop
3,3033473,Start
3,3033890,Setup write to 0x50. +ACK
3,3034610,Wrote 0x01 to 0x50. +ACK
3,3035790,Wrote 0x01 to 0x50. +ACK
3,3036510,Wrote 0x0B to 0x50. +ACK
3,3037168,Stop
3,3078133,Start
3,3078550,Setup write to 0x50. +ACK
3,3079270,Wrote 0x01 to 0x50. +ACK
3,3079968,Start
3,3080343,Setup read from 0x50. +ACK
3,3081063,Read 0x08 from 0x50. +ACK
3,3082383,Read 0x67 from 0x50. +ACK
3,3083663,Read 0x69 from 0x50. +ACK
3,3084943,Read 0x56 from 0x50. +ACK
3,3086683,Read 0x3F from 0x50. +ACK
3,3087963,Read 0xE4 from 0x50. +ACK
3,3089243,Read 0x0D from 0x50. +ACK
