Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
1268,231910	0x25	Stop	CCW	Off	On	Off	On	0,099935
1268,331845	0x27	Stop	CCW	Off	On	On	On	0,000020
1268,331865	0x25	Stop	CCW	Off	On	Off	On	0,100055
1268,431920	0x27	Stop	CCW	Off	On	On	On	0,000020
1268,431940	0x25	Stop	CCW	Off	On	Off	On	0,099940
1268,531880	0x27	Stop	CCW	Off	On	On	On	0,000020
1268,531900	0x25	Stop	CCW	Off	On	Off	On	0,100055
1268,631955	0x27	Stop	CCW	Off	On	On	On	0,000020
1268,631975	0x25	Stop	CCW	Off	On	Off	On	0,100065
1268,732040	0x27	Stop	CCW	Off	On	On	On	0,000020
1268,732060	0x25	Stop	CCW	Off	On	Off	On	0,099930
1268,831990	0x27	Stop	CCW	Off	On	On	On	0,000020
1268,832010	0x25	Stop	CCW	Off	On	Off	On	0,100075
1268,932085	0x27	Stop	CCW	Off	On	On	On	0,000015
1268,932100	0x25	Stop	CCW	Off	On	Off	On	0,099950
1269,032050	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,032070	0x25	Stop	CCW	Off	On	Off	On	0,099980
1269,132050	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,132070	0x25	Stop	CCW	Off	On	Off	On	0,100070
1269,232140	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,232160	0x25	Stop	CCW	Off	On	Off	On	0,099935
1269,332095	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,332115	0x25	Stop	CCW	Off	On	Off	On	0,100055
1269,432170	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,432190	0x25	Stop	CCW	Off	On	Off	On	0,099935
1269,532125	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,532145	0x25	Stop	CCW	Off	On	Off	On	0,100065
1269,632210	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,632230	0x25	Stop	CCW	Off	On	Off	On	0,099935
1269,732165	0x27	Stop	CCW	Off	On	On	On	0,000015
1269,732180	0x25	Stop	CCW	Off	On	Off	On	0,100060
1269,832240	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,832260	0x25	Stop	CCW	Off	On	Off	On	0,100070
1269,932330	0x27	Stop	CCW	Off	On	On	On	0,000020
1269,932350	0x25	Stop	CCW	Off	On	Off	On	0,099945
1270,032295	0x27	Stop	CCW	Off	On	On	On	0,000020
1270,032315	0x25	Stop	CCW	Off	On	Off	On	0,099985
1270,132300	0x27	Stop	CCW	Off	On	On	On	0,000020
1270,132320	0x25	Stop	CCW	Off	On	Off	On	0,100060
1270,232380	0x27	Stop	CCW	Off	On	On	On	0,000015
1270,232395	0x25	Stop	CCW	Off	On	Off	On	0,099940
1270,332335	0x27	Stop	CCW	Off	On	On	On	0,000020
1270,332355	0x25	Stop	CCW	Off	On	Off	On	0,100060
1270,432415	0x27	Stop	CCW	Off	On	On	On	0,000020
1270,432435	0x25	Stop	CCW	Off	On	Off	On	0,099935
1270,532370	0x27	Stop	CCW	Off	On	On	On	0,000020
1270,532390	0x25	Stop	CCW	Off	On	Off	On	0,100065
1270,632455	0x27	Stop	CCW	Off	On	On	On	0,000015
1270,632470	0x25	Stop	CCW	Off	On	Off	On	0,099935
1270,732405	0x27	Stop	CCW	Off	On	On	On	0,000020
1270,732425	0x25	Stop	CCW	Off	On	Off	On	0,100060
1270,832485	0x27	Stop	CCW	Off	On	On	On	0,000020
1270,832505	0x25	Stop	CCW	Off	On	Off	On	0,100065
1270,932570	0x27	Stop	CCW	Off	On	On	On	0,000015
1270,932585	0x25	Stop	CCW	Off	On	Off	On	0,099955
1271,032540	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,032560	0x25	Stop	CCW	Off	On	Off	On	0,099985
1271,132545	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,132565	0x25	Stop	CCW	Off	On	Off	On	0,100055
1271,232620	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,232640	0x25	Stop	CCW	Off	On	Off	On	0,099940
1271,332580	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,332600	0x25	Stop	CCW	Off	On	Off	On	0,100060
1271,432660	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,432680	0x25	Stop	CCW	Off	On	Off	On	0,099935
1271,532615	0x27	Stop	CCW	Off	On	On	On	0,000015
1271,532630	0x25	Stop	CCW	Off	On	Off	On	0,100060
1271,632690	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,632710	0x25	Stop	CCW	Off	On	Off	On	0,100070
1271,732780	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,732800	0x25	Stop	CCW	Off	On	Off	On	0,099930
1271,832730	0x27	Stop	CCW	Off	On	On	On	0,000015
1271,832745	0x25	Stop	CCW	Off	On	Off	On	0,100065
1271,932810	0x27	Stop	CCW	Off	On	On	On	0,000020
1271,932830	0x25	Stop	CCW	Off	On	Off	On	0,099955
1272,032785	0x27	Stop	CCW	Off	On	On	On	0,000015
1272,032800	0x25	Stop	CCW	Off	On	Off	On	0,099990
