Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
1239,324820	0x36	Stop	CW	Off	On	On	Off	0,000020
1239,324840	0x34	Stop	CW	Off	On	Off	Off	0,099955
1239,424795	0x36	Stop	CW	Off	On	On	Off	0,000015
1239,424810	0x34	Stop	CW	Off	On	Off	Off	0,100095
1239,524905	0x36	Stop	CW	Off	On	On	Off	0,000015
1239,524920	0x34	Stop	CW	Off	On	Off	Off	0,099955
1239,624875	0x36	Stop	CW	Off	On	On	Off	0,000020
1239,624895	0x34	Stop	CW	Off	On	Off	Off	0,099960
1239,724855	0x36	Stop	CW	Off	On	On	Off	0,000020
1239,724875	0x34	Stop	CW	Off	On	Off	Off	0,100090
1239,824965	0x36	Stop	CW	Off	On	On	Off	0,000020
1239,824985	0x34	Stop	CW	Off	On	Off	Off	0,099955
