Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
1426,837965	0x2-	Stop	CCW	On	On	x	On	0,000005
1426,837970	0x2-	Stop	CCW	Off	Off	x	On	35,300395
1462,138365	0x3-	Stop	CW	Off	Off	x	On	55,513505
1517,651870	0x2-	Stop	CCW	Off	Off	x	On	35,308605
1552,960475	0x3-	Stop	CW	Off	Off	x	On	45,411070
1598,371545	0x2-	Stop	CCW	Off	Off	x	On	35,403740
1633,775285	0xa-	Up	CCW	Off	Off	x	On	9,980015
1643,755300	0xa-	Up	CCW	On	Off	x	On	0,158990
1643,914290	0x8-	Up	Stop	On	Off	x	On	0,063595
1643,977885	0x0-	Stop	Stop	On	Off	x	On	2,377960
1646,355845	0x0-	Stop	Stop	Off	Off	x	On	0,158980
1646,514825	0x2-	Stop	CCW	Off	Off	x	On	5,233120
1651,747945	0x6-	Stop (D)	CCW	Off	Off	x	On	0,031750
1651,779695	0xe-	Down	CCW	Off	Off	x	On	10,270835
1662,050530	0xa-	Up	CCW	Off	Off	x	On	0,031745
1662,082275	0x2-	Stop	CCW	Off	Off	x	On	35,213245
1697,295520	0x3-	Stop	CW	Off	Off	x	On	45,411040
1742,706560	0x2-	Stop	CCW	Off	Off	x	On	35,308500
1778,015060	0x3-	Stop	CW	Off	Off	x	On	45,411100
1823,426160	0x2-	Stop	CCW	Off	Off	x	On	35,403755
1858,829915	0xa-	Up	CCW	Off	Off	x	On	10,380090
1869,210005	0xa-	Up	CCW	On	Off	x	On	0,158995
1869,369000	0x8-	Up	Stop	On	Off	x	On	0,063595
1869,432595	0x0-	Stop	Stop	On	Off	x	On	2,377945
1871,810540	0x0-	Stop	Stop	Off	Off	x	On	0,158985
1871,969525	0x2-	Stop	CCW	Off	Off	x	On	4,232905
1876,202430	0x6-	Stop (D)	CCW	Off	Off	x	On	0,031750
1876,234180	0xe-	Down	CCW	Off	Off	x	On	10,771015
1887,005195	0xa-	Up	CCW	Off	Off	x	On	0,006460
1887,011655	0xa-	Up	CCW	Off	On	x	On	0,000005
1887,011660	0xa-	Up	CCW	Off	Off	x	On	0,025280
1887,036940	0x2-	Stop	CCW	Off	Off	x	On	35,213120
1922,250060	0x3-	Stop	CW	Off	Off	x	On	35,308600
1957,558660	0x2-	Stop	CCW	Off	Off	x	On	35,308600
1992,867260	0x3-	Stop	CW	Off	Off	x	On	35,308495
2028,175755	0x2-	Stop	CCW	Off	Off	x	On	0,005370
2028,181125	0x2-	Stop	CCW	On	On	x	On	0,000005
2028,181130	0x2-	Stop	CCW	Off	Off	x	On	35,398425
2063,579555	0xa-	Up	CCW	Off	Off	x	On	11,502850
2075,082405	0x2-	Stop	CCW	Off	Off	x	On	2,168830
2077,251235	0x6-	Stop (D)	CCW	Off	Off	x	On	0,031750
2077,282985	0xe-	Down	CCW	Off	Off	x	On	11,671180
2088,954165	0xa-	Up	CCW	Off	Off	x	On	0,031745
2088,985910	0x2-	Stop	CCW	Off	Off	x	On	45,315670
2134,301580	0x3-	Stop	CW	Off	Off	x	On	35,308535
2169,610115	0x2-	Stop	CCW	Off	Off	x	On	45,411000
2215,021115	0x3-	Stop	CW	Off	Off	x	On	35,308620
2250,329735	0x2-	Stop	CCW	Off	Off	x	On	0,005470
2250,335205	0xf-	Down	CW	On	On	x	On	0,000005
2250,335210	0x2-	Stop	CCW	Off	Off	x	On	45,405570
2295,740780	0x3-	Stop	CW	Off	Off	x	On	35,308475
2331,049255	0x2-	Stop	CCW	Off	Off	x	On	45,411010
2376,460265	0x3-	Stop	CW	Off	Off	x	On	35,403915
2411,864180	0xb-	Up	CW	Off	Off	x	On	0,300030
2412,164210	0x3-	Stop	CW	Off	Off	x	On	12,202990
2424,367200	0xb-	Up	CW	Off	Off	x	On	0,300085
2424,667285	0x3-	Stop	CW	Off	Off	x	On	12,202965
2436,870250	0xb-	Up	CW	Off	Off	x	On	0,300035
2437,170285	0x3-	Stop	CW	Off	Off	x	On	10,202505
2447,372790	0xb-	Up	CW	Off	Off	x	On	0,006605
2447,379395	0xb-	Up	CW	On	On	x	On	0,000005
2447,379400	0xb-	Up	CW	Off	Off	x	On	0,000030
2447,379430	0xb-	Up	CW	On	On	x	On	0,000005
2447,379435	0xb-	Up	CW	Off	Off	x	On	0,293435
2447,672870	0x3-	Stop	CW	Off	Off	x	On	10,202485
2457,875355	0xb-	Up	CW	Off	Off	x	On	9,170470
2467,045825	0xf-	Down	CW	Off	Off	x	On	6,474215
2473,520040	0xf-	Down	CW	Off	Off	x	Off	0,127250
2473,647290	0xb-	Up	CW	Off	Off	x	Off	18,140855
2491,788145	0xa-	Up	CCW	Off	Off	x	Off	0,031790
2491,819935	0x8-	Up	Stop	Off	Off	x	Off	0,005065
2491,825000	0x8-	Up	Stop	Off	On	x	On	0,000005
2491,825005	0x8-	Up	Stop	Off	Off	x	Off	0,000240
2491,825245	0xb-	Up	CW	On	On	x	On	0,000005
2491,825250	0x8-	Up	Stop	Off	Off	x	Off	0,000185
2491,825435	0xf-	Down	CW	On	On	x	On	0,000005
2491,825440	0x8-	Up	Stop	Off	Off	x	Off	0,026350
2491,851790	0xc-	Down	Stop	Off	Off	x	Off	2,768590
2494,620380	0x8-	Up	Stop	Off	Off	x	Off	0,031850
2494,652230	0x0-	Stop	Stop	Off	Off	x	Off	19,206330
