Time [s],Event
4,0051863,Wrote 0x01 to 0x50. +ACK
4,0052560,Start
4,0052933,Setup read from 0x50. +ACK
4,0053653,Read 0x00 from 0x50. +ACK
4,0054893,Read 0x00 from 0x50. +No ACK
4,0056160,Stop
4,0057805,Start
4,0058225,Setup write to 0x50. +ACK
4,0058945,Wrote 0x00 to 0x50. +ACK
4,0059665,Wrote 0x00 to 0x50. +ACK
4,0060323,Stop
4,0061468,Start
4,0061885,Setup write to 0x50. +ACK
4,0062605,Wrote 0x00 to 0x50. +ACK
4,0063325,Wrote 0x00 to 0x50. +ACK
4,0063983,Stop
4,0064508,Start
4,0064925,Setup write to 0x50. +ACK
4,0065645,Wrote 0x00 to 0x50. +ACK
4,0066855,Wrote 0x10 to 0x50. +ACK
4,0067513,Stop
4,0078300,Start
4,0078720,Setup write to 0x50. +ACK
4,0079440,Wrote 0x01 to 0x50. +ACK
4,0080160,Wrote 0x02 to 0x50. +ACK
4,0080880,Wrote 0x06 to 0x50. +ACK
4,0081600,Wrote 0x00 to 0x50. +ACK
4,0082258,Stop
4,0103038,Start
4,0103455,Setup write to 0x50. +ACK
4,0104175,Wrote 0x01 to 0x50. +ACK
4,0104873,Start
4,0105245,Setup read from 0x50. +ACK
4,0105965,Read 0x00 from 0x50. +ACK
4,0107525,Read 0x00 from 0x50. +No ACK
4,0108795,Stop
4,0110020,Start
4,0110438,Setup write to 0x50. +ACK
4,0111158,Wrote 0x00 to 0x50. +ACK
4,0111878,Wrote 0x00 to 0x50. +ACK
4,0112535,Stop
