Time [s],Event
0,0303963,Wrote 0x01 to 0x50. +ACK
0,0304660,Start
0,0305033,Setup read from 0x50. +ACK
0,0305753,Read 0x00 from 0x50. +ACK
0,0306993,Read 0x00 from 0x50. +No ACK
0,0308263,Stop
0,0309938,Start
0,0310355,Setup write to 0x50. +ACK
0,0311075,Wrote 0x00 to 0x50. +ACK
0,0311795,Wrote 0x00 to 0x50. +ACK
0,0312453,Stop
0,0313598,Start
0,0314015,Setup write to 0x50. +ACK
0,0314735,Wrote 0x00 to 0x50. +ACK
0,0315455,Wrote 0x00 to 0x50. +ACK
0,0316113,Stop
0,0316638,Start
0,0317055,Setup write to 0x50. +ACK
0,0317775,Wrote 0x00 to 0x50. +ACK
0,0318948,Wrote 0x10 to 0x50. +ACK
0,0319605,Stop
0,0330363,Start
0,0330780,Setup write to 0x50. +ACK
0,0331500,Wrote 0x01 to 0x50. +ACK
0,0332220,Wrote 0x02 to 0x50. +ACK
0,0332940,Wrote 0x06 to 0x50. +ACK
0,0333660,Wrote 0x00 to 0x50. +ACK
0,0334318,Stop
0,0355038,Start
0,0355455,Setup write to 0x50. +ACK
0,0356175,Wrote 0x01 to 0x50. +ACK
0,0356873,Start
0,0357245,Setup read from 0x50. +ACK
0,0357965,Read 0x00 from 0x50. +ACK
0,0359668,Read 0x00 from 0x50. +No ACK
0,0360935,Stop
0,0362160,Start
0,0362578,Setup write to 0x50. +ACK
0,0363298,Wrote 0x00 to 0x50. +ACK
0,0364018,Wrote 0x00 to 0x50. +ACK
0,0364675,Stop
0,0365820,Start
0,0366238,Setup write to 0x50. +ACK
0,0366958,Wrote 0x00 to 0x50. +ACK
0,0367678,Wrote 0x00 to 0x50. +ACK
0,0368335,Stop
0,0369310,Start
0,0369730,Setup write to 0x50. +ACK
0,0370450,Wrote 0x00 to 0x50. +ACK
0,0371170,Wrote 0x10 to 0x50. +ACK
0,0371828,Stop
0,0382585,Start
0,0383003,Setup write to 0x50. +ACK
0,0383723,Wrote 0x01 to 0x50. +ACK
0,0384443,Wrote 0x02 to 0x50. +ACK
0,0385163,Wrote 0x06 to 0x50. +ACK
0,0385883,Wrote 0x00 to 0x50. +ACK
0,0386540,Stop
0,0407250,Start
0,0407668,Setup write to 0x50. +ACK
0,0408388,Wrote 0x01 to 0x50. +ACK
0,0409295,Start
0,0409668,Setup read from 0x50. +ACK
0,0410388,Read 0x00 from 0x50. +ACK
0,0411630,Read 0x00 from 0x50. +No ACK
0,0412898,Stop
0,0414123,Start
0,0414540,Setup write to 0x50. +ACK
0,0415260,Wrote 0x00 to 0x50. +ACK
0,0415980,Wrote 0x00 to 0x50. +ACK
0,0416638,Stop
0,0417783,Start
0,0418200,Setup write to 0x50. +ACK
0,0419380,Wrote 0x00 to 0x50. +ACK
0,0420100,Wrote 0x00 to 0x50. +ACK
0,0420760,Stop
0,0421283,Start
0,0421703,Setup write to 0x50. +ACK
0,0422423,Wrote 0x00 to 0x50. +ACK
0,0423143,Wrote 0x10 to 0x50. +ACK
0,0423800,Stop
0,0434558,Start
0,0434975,Setup write to 0x50. +ACK
0,0435695,Wrote 0x01 to 0x50. +ACK
0,0436415,Wrote 0x02 to 0x50. +ACK
0,0437135,Wrote 0x06 to 0x50. +ACK
0,0437855,Wrote 0x00 to 0x50. +ACK
0,0438973,Stop
0,0459683,Start
0,0460100,Setup write to 0x50. +ACK
0,0460820,Wrote 0x01 to 0x50. +ACK
0,0461518,Start
0,0461890,Setup read from 0x50. +ACK
0,0462613,Read 0x00 from 0x50. +ACK
0,0463853,Read 0x00 from 0x50. +No ACK
0,0465120,Stop
0,0466345,Start
0,0466763,Setup write to 0x50. +ACK
0,0467483,Wrote 0x00 to 0x50. +ACK
0,0468203,Wrote 0x00 to 0x50. +ACK
0,0469310,Stop
0,0470455,Start
0,0470873,Setup write to 0x50. +ACK
0,0471593,Wrote 0x00 to 0x50. +ACK
0,0472315,Wrote 0x00 to 0x50. +ACK
0,0472973,Stop
0,0473498,Start
0,0473915,Setup write to 0x50. +ACK
0,0474635,Wrote 0x00 to 0x50. +ACK
0,0475355,Wrote 0x10 to 0x50. +ACK
0,0476013,Stop
0,0486770,Start
0,0487188,Setup write to 0x50. +ACK
0,0487908,Wrote 0x01 to 0x50. +ACK
0,0489088,Wrote 0x02 to 0x50. +ACK
0,0489808,Wrote 0x06 to 0x50. +ACK
0,0490528,Wrote 0x00 to 0x50. +ACK
0,0491185,Stop
0,0511895,Start
0,0512313,Setup write to 0x50. +ACK
0,0513033,Wrote 0x01 to 0x50. +ACK
0,0513730,Start
0,0514105,Setup read from 0x50. +ACK
0,0514825,Read 0x00 from 0x50. +ACK
0,0516065,Read 0x00 from 0x50. +No ACK
0,0517333,Stop
0,0519018,Start
0,0519435,Setup write to 0x50. +ACK
0,0520155,Wrote 0x00 to 0x50. +ACK
0,0520875,Wrote 0x00 to 0x50. +ACK
0,0521533,Stop
0,0522678,Start
0,0523095,Setup write to 0x50. +ACK
0,0523818,Wrote 0x00 to 0x50. +ACK
0,0524538,Wrote 0x00 to 0x50. +ACK
0,0525195,Stop
0,0525720,Start
0,0526138,Setup write to 0x50. +ACK
0,0526858,Wrote 0x00 to 0x50. +ACK
0,0527578,Wrote 0x10 to 0x50. +ACK
0,0528235,Stop
0,0539433,Start
0,0539850,Setup write to 0x50. +ACK
0,0540570,Wrote 0x01 to 0x50. +ACK
0,0541290,Wrote 0x02 to 0x50. +ACK
0,0542010,Wrote 0x06 to 0x50. +ACK
0,0542730,Wrote 0x00 to 0x50. +ACK
